pais,id_accidente,fecha,municipio,provincia,linea,operador,suceso_codigo,suceso_desc,causa_codigo,causa_desc,fallecidos,heridos_graves,heridos_leves,hora,pk,resumen,titulo_informe,informe_publico_url,organismo_investigador,num_paginas,fuente_datos,latitud,longitud,estado_investigacion,fecha_procesamiento
ES,ES-2007-ID_130607_191007,2007-06-13,,Tarragona,Madrid,pública,1.5.1.1,Arrollamiento en plena vía,2.4,Sin identificar,0,0,0,03:35,,nº 0037/2007 ocurrido el 13.06.2007,ID_130607_191007.pdf,https://www.era.europa.eu/system/files/2023-07/ID_130607_191007.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:34.540859
ES,ES-2007-ID_160507_300108,2007-05-16,,,"Madrid 
Barcelona",pública,1.5.1.1,Arrollamiento en plena vía,2.4,Sin identificar,0,0,0,,,nº 0032/2007 ocurrido el 16.05.2007,ID_160507_300108.pdf,https://www.era.europa.eu/system/files/2023-07/ID_160507_300108.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:34.616723
ES,ES-2007-ID_230507_140907,2007-01-01,,,,,1.7.7,Otros,2.4,Sin identificar,0,0,0,,,,ID_230507_140907.pdf,https://www.era.europa.eu/system/files/2023-07/ID_230507_140907.pdf,CIAF,7,ERA,,,Completado,2026-07-06T13:13:34.624444
ES,ES-2007-ID_230707_300108,2007-07-23,Bell,,Lleida,pública,1.5.1.2,Arrollamiento en estación,1.1.6,Factor humano - Mantenimiento,0,0,0,,196+070,nº 041/2007 ocurrido el 23.07.2007,ID_230707_300108.pdf,https://www.era.europa.eu/system/files/2023-07/ID_230707_300108.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:34.703434
ES,ES-2007-ID_240607_300108,2007-06-24,Vinaroz PK,,Valencia Nord,pública,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,,146+805,nº 38/2007 ocurrido el 24.06 .2007,ID_240607_300108.pdf,https://www.era.europa.eu/system/files/2023-07/ID_240607_300108.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:34.778233
ES,ES-2007-2424,2007-04-25,,,Redondela,Renfe,1.4.1.1,Accidente PN - Vehículo,2.4,Sin identificar,0,0,0,,66+722,nº 025/2007 ocurrido el 25.04.2007,ID_250407_171207.pdf,https://www.era.europa.eu/system/files/2023-07/ID_250407_171207.pdf,CIAF,23,ERA,,,Completado,2026-07-06T13:13:35.109275
ES,ES-2007-ID_250507_140907,2007-05-25,,Tarragona,Valencia,Renfe,1.5.1.1,Arrollamiento en plena vía,2.4,Sin identificar,0,0,0,,244+350,nº 34/07 ocurrido el 25.05.2007,ID_250507_140907.pdf,https://www.era.europa.eu/system/files/2023-07/ID_250507_140907.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:35.190084
ES,ES-2007-ID_270807_300108,2007-08-27,Murcia,,,pública,1.4,Accidente en paso a nivel,2.4,Sin identificar,0,0,0,09:47,467,nº 44/2007 ocurrido  el 27.08 .2007,ID_270807_300108.pdf,https://www.era.europa.eu/system/files/2023-07/ID_270807_300108.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:35.286727
ES,ES-2007-ID_300407_190907_Toc,2007-04-30,Tocón,,Granada,pública,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,14:39,,nº 26/2007 ocurrido el 30.04.2007,ID_300407_190907_Tocón - Montefrío.pdf,https://www.era.europa.eu/system/files/2023-07/ID_300407_190907_Toc%C3%B3n%20-%20Montefr%C3%ADo.pdf,CIAF,7,ERA,,,Completado,2026-07-06T13:13:35.379305
ES,ES-2008-224,2008-02-05,San,,Madrid-Valencia,pública,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,17:00,13+100,nº 0023/2008 ocurrido el 05.02.2008 SECRETARIA DE ESTADO,ID-050208-240608-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/ID-050208-240608-CIAF.pdf,CIAF,9,ERA,,,Completado,2026-07-06T13:13:35.429199
ES,ES-2008-27231,2008-01-06,Pitis,,Madrid-Hendaya,Renfe,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,16:25,20+100,nº 0022/2008 ocurrido el 06.01.2008 SECRETARIA DE ESTADO,ID-060108-240608-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/ID-060108-240608-CIAF.pdf,CIAF,9,ERA,,,Completado,2026-07-06T13:13:35.484050
ES,ES-2008-2,2008-03-14,en el P,,Barcelona-Cerbere,Renfe,1.4.1.1,Accidente PN - Vehículo,2.4,Sin identificar,0,0,0,19:54,148+000,nº 0004/2008 ocurrido el 14.03.2008 SECRETARIA DE ESTADO,ID-140308-240608-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/ID-140308-240608-CIAF.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:35.545130
